use_case_key,use_case_name,objective,family,n_papers,positive,prevalence,too_small_to_split
synergy_smid_2020,Bayesian vs Frequentist SEM Small Samples,"In small sample contexts, Bayesian estimation is often suggested as a viable alternative to frequentist estimation, such as maximum likelihood estimation. Our systematic literature review is the fi...",SYNERGY,2627,27,0.010277883517320136,True
synergy_hall_2012,Fault Prediction Model Performance in Software,"Background: The accurate prediction of where faults are likely to occur in code can help direct test effort, reduce costs, and improve the quality of software. Objective: We investigate how the context of models, the independent variables used, and the modeling techniques applied influence the performance of fault prediction models. Method: We used a systematic literature review to identify 208 fault prediction studies published from January 2000 to December 2010. We synthesize the quantitative and qualitative results of 36 studies which report sufficient contextual and methodological information according to the criteria we develop and apply. Results: The models that perform well tend to be based on simple modeling techniques such as Naive Bayes or Logistic Regression. Combinations of independent variables have been used by models that perform well. Feature selection has been applied to these combinations when models are performing particularly well. Conclusion: The methodology used to build models seems to be influential to predictive performance. Although there are a set of fault prediction studies in which confidence is possible, more studies are needed that use a reliable meth",SYNERGY,8793,104,0.011827590128511315,False
synergy_wassenaar_2017,Early-Life BPA Exposure and Obesity in Rodents,"Early-life exposure to bisphenol A (BPA) has been implicated to play a role in the development of obesity.A systematic review with meta-analyses of experimental rodent studies was conducted to answer the following question: does early-life exposure to BPA affect the obesity-related outcomes body weight, fat (pad) weight, and circulating and tissue levels of triglycerides, free fatty acids (FFA), and leptin?The methodology was prespecified in a rigorous protocol using the Systematic Review Centre for Laboratory Animal Experimentation (SYRCLE) approach. Using PubMed and EMBASE, we identified 61 articles that met the inclusion criteria. The risk of bias and the methodological quality of these articles were assessed using the SYRCLE Risk of Bias tool, and a confidence-rating methodology was used to score the quality of evidence. Meta-analyses were performed using random effect models and standardized mean differences (SMDs), or, where possible, mean differences (MDs) were calculated.Overall summary estimates indicated significant positive associations between BPA and fat weight [SMD=0.67 (95% CI: 0.53, 0.81)], triglycerides [SMD=0.97 (95% CI: 0.53, 1.40)], and FFA [SMD=0.86 (95% CI: 0.",SYNERGY,7668,111,0.014475743348982786,False
synergy_walker_2018,Transgenerational Inheritance of Health Effects Evidence Map,"An increasing number of reports suggest early life exposures result in adverse effects in offspring who were never directly exposed; this phenomenon is termed ""transgenerational inheritance."" Given concern for public health implications for potential effects of exposures transmitted to subsequent generations, it is critical to determine how widespread and robust this phenomenon is and to identify the range of exposures and possible outcomes.This scoping report examines the evidence for transgenerational inheritance associated with exposure to a wide range of stressors in humans and animals to identify areas of consistency, uncertainty, data gaps, and to evaluate general risk of bias issues for the transgenerational study design.A protocol was developed to collect and categorize the literature into a systematic evidence map for transgenerational inheritance by health effects, exposures, and evidence streams following the Office of Health Assessment and Translation (OHAT) approach for conducting literature-based health assessments.A PubMed search yielded 63,758 unique records from which 257 relevant studies were identified and categorized into a systematic evidence map by evidence st",SYNERGY,48343,760,0.015720993732288024,False
synergy_van_der_waal_2022,Cancer patient treatment decision making role preference,"In the complex setting of oncological treatment decision making, balancing professional guidance while respecting patient involvement can be a challenge. We set out to assess the role adults with cancer favour in treatment decision making (TDM), including differences across age groups and change over time.A systematic search was performed in MEDLINE and Embase, for studies on role preference of (older) adults with cancer in oncological treatment decision making. A meta-analysis was conducted based on Control Preference Scale (CPS) data, a questionnaire on patient role preference in TDM.This meta-analysis includes 33 studies reporting CPS data comprising 17,197 adults with cancer. Mean age was 60.6 years old for studies that specified age (24 studies, 6155 patients). During the last decade, patients' role preference shifted towards significantly more active involvement in TDM (p = 0.006). No age-dependent subgroup differences have been identified; both younger and older adults, defined as, respectively, below and above 65 years old, favour active involvement in treatment decision making.Over time, adults with cancer have shifted towards more active role preference in treatment decis",SYNERGY,1970,33,0.016751269035532996,True
synergy_oud_2018,Specialized psychotherapies for borderline personality disorder,"Objective: Borderline personality disorder affects up to 2% of the population and is associated with poor functioning, low quality of life and increased mortality. Psychotherapy is the treatment of choice, but it is unclear whether specialized psychotherapies (dialectical behavior therapy, mentalization-based treatment, transference-focused therapy and schema therapy) are more effective than non-specialized approaches (e.g. protocolized psychological treatment, general psychiatric management). The aim of this systematic review is to investigate the effectiveness of these psychotherapies. Methods: PubMed, PsycINFO, CINAHL, EMBASE and CENTRAL were searched from inception to November 2017. Included randomized controlled trials were assessed on risk of bias and outcomes were meta-analyzed. Confidence in the results was assessed using the Grading of Recommendations Assessment, Development and Evaluation method. The review has been reported following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Results: A total of 20 studies with 1375 participants were included. Specialized psychotherapies, when compared to treatment as usual or community treatment by ex",SYNERGY,952,20,0.02100840336134454,True
synergy_moran_2021,Nutritional condition and animal risk-taking behaviour,"Animal behaviour can lead to varying levels of risk, and an individual's physical condition can alter the potential costs and benefits of undertaking risky behaviours. How risk-taking behaviour depends on condition is subject to contrasting hypotheses. The asset protection principle proposes that individuals in better condition should be more risk averse, as they have higher future reproductive potential (i.e. more to lose). The state-dependent safety hypothesis proposes that high-condition individuals that are more likely to survive and maximise the benefits of risky situations may make apparently riskier choices, as their individual risk is in fact lower. We systematically searched for studies that experimentally manipulated animals' nutritional or energetic condition through diet treatments, and subsequently measured risk-taking behaviour in contexts relating to predation, novelty and exploration. Our meta-analysis quantified condition effects on risk-taking behaviour at both the mean and variance level. We preregistered our methods and hypotheses prior to conducting the study. Phylogenetic multilevel meta-analysis revealed that the lower-nutritional-condition individuals showed",SYNERGY,5214,111,0.021288837744533946,False
nykvist_evcharging,Electric Vehicle Charging Infrastructure Demand Planning,"Surface empirical and modelling studies that quantify charging infrastructure demand, siting, utilisation or user charging behaviour for electric road vehicles.",EV charging (Nykvist),11853,440,0.037121403864000674,False
synergy_meijboom_2021,Retransitioning from TNF-alpha biosimilar to originator,"Transitioning patients from an originator to a corresponding biosimilar has been extensively studied in both randomized controlled trials and observational studies. Although transitioning is considered well-tolerated, with no negative impacts on efficacy and/or safety, 2.6-25.8% of patients restart treatment with the originator (retransitioning). Retransitioning to the originator can be considered an indication of biosimilar treatment failure or dissatisfaction with biosimilar treatment. Increasing our knowledge of patients who retransition might help to reduce the number of patients retransitioning.Our objective was to estimate the cumulative incidence of patients who retransitioned from a tumor necrosis factor (TNF)-α inhibitor biosimilar to originator and to explore potential patient, disease, and treatment and implementation strategy factors associated with retransitioning.We conducted a systematic literature search in the PubMed, EMBASE, and Cochrane Central Register of controlled trials databases until March 2021. Studies on TNFα inhibitors, biosimilar transitioning, and retransitioning were included. Transitioning was defined as switching from an originator to a biosimilar, ",SYNERGY,882,37,0.04195011337868481,True
synergy_donners_2021,Emicizumab Pharmacokinetics and Efficacy in Hemophilia A,"IntroductionEmicizumab is an effective new treatment option for people with hemophilia A (PwHA). The approved dosing regimens are based on body weight, without the necessity for laboratory monitoring. This assumes a clear dose–concentration–response relationship, with acceptable variability due to factors other than body weight. To investigate this assumption, a systematic review on the pharmacokinetics (PK) and associated efficacy of emicizumab in humans was conducted.MethodsThe EMBASE, Pubmed and CENTRAL databases were systematically searched to November 2020 to identify studies on the PK data of emicizumab in humans. Data on the study, population, PK and efficacy (annualized bleeding rate of treated [joint] bleeds) were extracted and synthesized, and exposure effects modeling was performed using non-linear least squares regression in a maximum effect (Emax) model.ResultsThe 15 included studies reported on data for 140 volunteers and 467 PwHA, including children (0 to <12 years) and adolescents and adults (≥12 years), both with and without factor VIII (FVIII) inhibitors. Emicizumab demonstrated dose-linear PK. The interindividual variability of trough concentrations was moderate ",SYNERGY,258,15,0.05813953488372093,True
synergy_menon_2022,Methodological Rigour of Environmental Health Systematic Reviews,"While systematic reviews (SRs) are often perceived as a ""gold standard"" for evidence synthesis in environmental health and toxicology, the methodological rigour with which they are currently being conducted is unclear. The objectives of this study are (1) to provide up-to-date information about the methodological rigour of environmental health SRs and (2) to test hypotheses that reference to a pre-published protocol, use of a reporting checklist, or being published in a journal with a higher impact factor, are associated with increased methodological rigour of a SR. A purposive sample of 75 contemporary SRs were assessed for how many of 11 recommended SR practices they implemented. Information including search strategies, study appraisal tools, and certainty assessment methods was extracted to contextualise the results. The included SRs implemented a median average of 6 out of 11 recommended practices. Use of a framework for assessing certainty in the evidence of a SR, reference to a pre-published protocol, and characterisation of research objectives as a complete Population-Exposure-Comparator-Outcome statement were the least common recommended practices. Reviews that referenced a",SYNERGY,975,74,0.0758974358974359,False
synergy_leenaars_2020,Animal vs Human Methotrexate RA Trial Design Comparison,"Increased awareness and understanding of current practices in translational research is required for informed decision making in drug development. This paper describes a systematic review of methotrexate for rheumatoid arthritis, comparing trial design between 147 animal and 512 human studies. Animal studies generally included fewer subjects than human studies, and less frequently reported randomisation and blinding. In relation to life span, study duration was comparable for animals and humans, but included animals were younger than included humans. Animal studies often comprised males only (61%), human studies always included females (98% included both sexes). Power calculations were poorly reported in both samples. Analyses of human studies more frequently comprised Chi-square tests, those of animal studies more frequently reported analyses of variance. Administration route was more variable, and more frequently reported in animal than human studies. Erythrocyte sedimentation rate and c-reactive protein were analysed more frequently in human than in animal studies. To conclude, experimental designs for animal and human studies are not optimally aligned. However, methotrexate is ",SYNERGY,7210,582,0.08072122052704576,False
synergy_jeyaraman_2020,MSC source comparison for knee osteoarthritis,"Study Design Meta-analysis. Objectives To compare the efficacy and safety of bone marrow(BM)–derived mesenchymal stem cell(MSCs) and adipose-derived(AD) MSCs in the management of osteoarthritis of knee from randomized controlled trials(RCTs) available in the literature. Materials and Methods We conducted electronic database searche from PubMed, Embase, and Cochrane Library till May 2020 for RCTs analyzing the efficacy and safety of MSCs in management of osteoarthritis of knee. Visual Analog Score(VAS) for Pain, Western Ontario McMaster Universities Osteoarthritis Index(WOMAC), Lysholm Knee Scale(Lysholm), Whole-Organ Magnetic Resonance Imaging Score(WORMS), Knee Osteoarthritis Outcome Score(KOOS), and adverse events were the outcomes analyzed. Analysis was performed in R platform using OpenMeta[Analyst] software. Results Nineteen studies involving 811 patients were included for analysis. None of the studies compared the source of MSCs for osteoarthritis of knee and results were obtained by pooled data analysis of both sources. At 6 months, AD-MSCs showed significantly better VAS( P&lt;0.001, P=0.069) and WOMAC( P=0.134, P=0.441) improvement than BM-MSCs, respectively, compared to c",SYNERGY,1175,96,0.08170212765957446,False
synergy_van_der_valk_2021,Hair glucocorticoids and obesity anthropometric measures,"Long-term glucocorticoids (HairGC) measured in scalp hair have been associated with body mass index (BMI), waist circumference (WC), and waist-hip-ratio (WHR) in several cross-sectional studies. We aimed to investigate the magnitude, strength, and clinical relevance of these relations across all ages.We performed a systematic review and meta-analysis (PROSPERO registration CRD42020205187) searching for articles relating HairGC to measures of obesity. Main outcomes were bivariate correlation coefficients and unadjusted simple linear regression coefficients relating hair cortisol (HairF) and hair cortisone (HairE) to BMI, WC, and WHR.We included k = 146 cohorts (n = 34,342 individuals). HairGC were positively related to all anthropometric measurements. The strongest correlation and largest effect size were seen for HairE-WC: pooled correlation 0.18 (95%CI 0.11-0.24; k = 7; n = 3,158; I2 = 45.7%) and pooled regression coefficient 11.0 cm increase in WC per point increase in 10-log-transformed HairE (pg/mg) on liquid-chromatography-(tandem) mass spectrometry (LC-MS) (95%CI 10.1-11.9 cm; k = 6; n = 3,102). Pooled correlation for HairF-BMI was 0.10 (95%CI 0.08-0.13; k = 122; n = 26,527; ",SYNERGY,725,89,0.12275862068965518,False
synergy_muthu_2021,Fragility Index of Spine Surgery RCTs,"Study design Systematic review. Objectives The aim of this study was to assess the robustness of statistically significant outcomes from randomized control trials (RCTs) in spine surgery using Fragility Index (FI) which is a novel metric measuring the number of events upon which statistical significance of the outcome depends. Summary of background data Many trials in Spine surgery were characterized by fewer outcome events along with small sample size. FI helps us identify the robustness of the results from such studies with statistically significant dichotomous outcomes. Methods We conducted independent and in duplicate, a systematic review of published RCTs in spine surgery from PubMed Central, Embase, and Cochrane Database. RCTs with 1:1 prospective study design and reporting statistically significant dichotomous primary or secondary outcomes were included. FI was calculated for each RCT and its correlation with various factors was analyzed. Results Seventy trials met inclusion criteria with a median sample size of 133 (interquartile range [IQR]: 80-218) and median reported events per trial was 38 (IQR: 13-94). The median FI score was 2 (IQR: 0-5), which means if we switch two ",SYNERGY,2719,336,0.12357484369253402,False
synergy_sep_2021,Rodent Object-in-Context Task Methodology Review,"Environmental information plays an important role in remembering events. Information about stable aspects of the environment (here referred to as 'context') and the event are combined by the hippocampal system and stored as context-dependent memory. In rodents (such as rats and mice), context-dependent memory is often investigated with the object-in-context task. However, the implementation and interpretation of this task varies considerably across studies. This variation hampers the comparison between studies and-for those who design a new experiment or carry out pilot experiments-the estimation of whether observed behavior is within the expected range. Also, it is currently unclear which of the variables critically influence the outcome of the task. To address these issues, we carried out a preregistered systematic review (PROSPERO CRD42020191340) and provide an up-to-date overview of the animal-, task-, and protocol-related variations in the object-in-context task for rodents. Using a data-driven explorative meta-analysis we next identified critical factors influencing the outcome of this task, such as sex, testbox size and the delay between the learning trials. Based on these o",SYNERGY,271,40,0.14760147601476015,False
synergy_nelson_2002,Postmenopausal HRT Primary Prevention Chronic Conditions,"Although postmenopausal hormone replacement therapy (HRT) is widely used in the United States, new evidence about its benefits and harms requires reconsideration of its use for the primary prevention of chronic conditions.To assess the benefits and harms of HRT for the primary prevention of cardiovascular disease, thromboembolism, osteoporosis, cancer, dementia, and cholecystitis by reviewing the literature, conducting meta-analyses, and calculating outcome rates.All relevant English-language studies were identified in MEDLINE (1966-2001), HealthSTAR (1975-2001), Cochrane Library databases, and reference lists of key articles. Recent results of the Women's Health Initiative (WHI) and the Heart and Estrogen/progestin Replacement Study (HERS) are included for reported outcomes.We used all published studies of HRT if they contained a comparison group of HRT nonusers and reported data relating to HRT use and clinical outcomes of interest. Studies were excluded if the population was selected according to prior events or presence of conditions associated with higher risks for targeted outcomes.Meta-analyses of observational studies indicated summary relative risks (RRs) for coronary hear",SYNERGY,366,80,0.2185792349726776,False
roadfreight_metareview,Decarbonising Road Freight Systematic Review Mapping,"Find review, survey and meta-analysis papers covering road freight transport — electrification, alternative fuels, automation, platooning, logistics efficiency and freight policy.",Road freight (review-of-reviews),132,103,0.7803030303030303,False
